ORIGIN_CODE_R9,891126d06c3ffff,891126d06cbffff,891126d06d3ffff,891126d06dbffff,891126d1483ffff,891126d1487ffff,891126d148fffff,891126d1493ffff,891126d1497ffff,891126d14a3ffff,891126d14a7ffff,891126d14b3ffff,891126d14b7ffff,891126d14bbffff,891126d1593ffff,891126d159bffff,891126d15d3ffff,891126d15d7ffff,891126d3003ffff,891126d3007ffff,891126d300bffff,891126d300fffff,891126d301bffff,891126d3023ffff,891126d3027ffff,891126d302bffff,891126d302fffff,891126d3033ffff,891126d3037ffff,891126d303bffff,891126d3043ffff,891126d3047ffff,891126d304bffff,891126d304fffff,891126d3057ffff,891126d3063ffff,891126d3067ffff,891126d306bffff,891126d306fffff,891126d3073ffff,891126d3077ffff,891126d307bffff,891126d3143ffff,891126d3147ffff,891126d314bffff,891126d3153ffff,891126d3157ffff,891126d315bffff,891126d316bffff,891126d317bffff,891126d31cbffff,891126d31cfffff,891126d3207ffff,891126d3223ffff,891126d3227ffff,891126d322bffff,891126d322fffff,891126d3233ffff,891126d3237ffff,891126d3287ffff,891126d32a7ffff,891126d32abffff,891126d32afffff,891126d32b3ffff,891126d32b7ffff,891126d3303ffff,891126d3307ffff,891126d330bffff,891126d330fffff,891126d3313ffff,891126d3317ffff,891126d331bffff,891126d3323ffff,891126d3327ffff,891126d332bffff,891126d332fffff,891126d3333ffff,891126d3337ffff,891126d333bffff,891126d3343ffff,891126d3347ffff,891126d334bffff,891126d334fffff,891126d3353ffff,891126d3357ffff,891126d335bffff,891126d3363ffff,891126d3367ffff,891126d336bffff,891126d336fffff,891126d3373ffff,891126d3377ffff,891126d337bffff,891126d3383ffff,891126d3387ffff,891126d338bffff,891126d338fffff,891126d3393ffff,891126d3397ffff,891126d339bffff,891126d33a3ffff,891126d33a7ffff,891126d33abffff,891126d33afffff,891126d33b3ffff,891126d33b7ffff,891126d33bbffff,891126d33c3ffff,891126d33c7ffff,891126d33cbffff,891126d33cfffff,891126d33d3ffff,891126d33d7ffff,891126d33dbffff
891126d306bffff,,,,,,,,,,,,,,,,,,,8913.004066711112,,12835.08783581111,,,,,,,,,,,,11419.43509579444,,,6907.622035222221,,,10798.904316666665,10347.153117855554,,,,,,,,,,,,,,,,,,,,,,,,,5723.579403383334,23254.897832133338,,,,27150.046607599994,9898.817717444446,7539.936132788892,,,,,,,,,,,,,,,,,,,,,,,,7996.1231253555525,,,,41083.16537387225,,17753.707067288888,12405.740953588895,,,,12699.18531509445,,5492.686850077777,,,8573.582821533335,,
891126d306fffff,34180.05622507776,,,16586.3283130611,,,,,,,,,,,,,,,,,,,,,,6045.429449499998,,,,,,,,,,,10147.749956049998,2717.7894852888894,,,,,,,,,,,,,,,,,,,,,18422.75285806666,,,,,,,,,,,,7287.712630099998,,,,,,,12772.002309111107,,,,,,,,,,,,,,,,,,6253.959197655556,8049.868578305558,,,9773.755612483332,,,,,,,,4166.82335237778,10136.42919364445,,,15579.171852533338,9454.882529555558,5122.280280872224
891126d3073ffff,23279.994462044437,,46391.72527165557,45552.589325133325,,,,,16265.913376688897,,,,,,39059.40563536664,20643.840186433325,21538.05588215554,86893.83131457776,12892.16606428333,,30682.37953137778,,28400.690561950014,23959.74427384999,50043.788991194415,19433.295465966665,10007.761523705558,,10072.47785693333,,15876.275150866662,5141.132404333333,47180.596795888865,15693.031799200005,,35017.289282888894,,18563.387682816665,20831.673517199994,,18571.79078408889,38472.18482084444,40100.65484763333,,58885.61280062218,27993.238814722215,29373.114624622216,,24887.83330370555,,13094.38014352222,27743.162046444435,,12653.155059572224,,,28429.334270866682,11194.312632494448,,11478.553314977784,,,10052.196553933338,7474.74538311667,,31585.188040544443,34110.43561185556,,31186.903575022225,39645.48192021667,13477.678979605558,23485.760734411113,,71293.04979299998,,,33461.042522288895,113771.81195169999,18213.309858255554,,31540.28310953331,31664.40372635557,16545.451406166663,,,,18477.779235416667,54600.54114946662,,38570.29414155555,16821.95910060557,33910.5639638111,,29458.325748249998,35786.35914350001,,58561.313579611146,7428.946405611111,,8898.101460150001,,,,38557.02234152222,,,,8794.23984005,9695.631084494446,,12494.889733705555,25385.3597592,8362.74029321111,8745.695177372221
891126d307bffff,,44153.938484444436,,,,,,,,,,,,,,,,,21923.519243266666,,28874.277593699997,,26225.883373822213,,,,,,12021.066309816666,,,4840.103309922222,,,,11292.522766700004,,6006.752648866667,13525.695853988884,24059.288704305567,,,,,,,,,,,15042.968596405557,,,,,,,,,,15956.534552855568,,,,3026.788775966666,31223.101549733346,16874.174560522224,,,,13961.939565272216,11561.837121800001,,,,,,19446.229244283328,,,,,,,,,,,,,,,,,,36050.58527342223,13660.851168805557,18755.069716988888,,19864.290945333334,,,,,,,16589.038417000014,8613.196594644447,38058.35135635557,,,,,17129.30386393333
891126d3143ffff,,,,,,,,,,,,,,,,,,,53038.31151873332,,42902.872669416676,,16064.221155538888,45981.76423139443,25376.423537888877,75250.14549570001,6060.18973112778,43483.04246953333,6585.47547882778,,,,,,,61212.74406473333,,15663.677281699995,10651.431964911118,52227.960789977784,57647.07750993335,31358.73721119999,,8500.243969427775,11538.223043277778,28081.5988775,8203.514274044443,17756.458682666664,,,36388.215705333336,4117.768692022222,,,,,,,,,,,,33901.253541088874,15764.70426354444,11840.337365305562,,,13184.649732488884,18525.807970211114,31996.32919171112,10010.649533811113,,18285.753249322217,,14718.906583616668,,,,,,,,,,,,31582.756656266636,,,,14546.479926883327,,,4238.353491788887,51417.81761841667,18700.99810273333,13164.22610455556,,33553.60117060002,25292.219950744453,,42024.022136288906,,5507.233644305554,,31594.88985683332,,,,,,,
891126d3153ffff,,,,,,88601.61191046664,,,,,,21651.28129682779,,47526.69545252223,,,,,,,12428.850964638894,,,23483.584348972236,30560.922936988893,19467.06205640001,,,14140.106660983338,,,,19588.453364122233,,,,,13791.570689866674,,,15471.47931964445,,5956.251018355555,,10571.540235666664,,3358.8921474888893,70952.13152455557,,,21216.788138699998,10175.663433600002,,40513.85971033332,39570.530052199996,21663.918564866675,43636.88386205556,,20438.566121127777,19082.32811057222,23741.35259385556,,35311.942699055566,,,50263.028690583335,,44611.732562716636,,42660.79194004445,10977.207807105557,,,,,,,,,,,40408.82390953331,,35272.41194882223,61745.940706644426,,,,,,,,,7867.633361583336,14432.958001933332,10684.20821101667,27635.374630266662,,17109.64523251666,,,,,,,,,,,,,,,
891126d3157ffff,,,,,,,,,,,,,,,,,,,,,,,,35404.869020111095,66291.36024209998,26619.83285908333,8082.603312972222,,14195.251642444451,,,,,,,31630.672717155558,,32351.655248188883,,,10119.996594050002,16191.518947994435,6152.635705533335,10551.122537938889,8717.046354333334,15199.484511633329,,8540.87180768889,,,20754.85956463889,14419.56166758333,23599.857889299987,249260.77199333324,73548.80510304443,24048.175499094443,97725.22129727778,,58842.07323143333,,,,20040.228283755547,,,,,,,22627.56510723334,10049.960866438889,12061.528102322221,,,,,,,,,,,,33417.91806748889,,17277.46411953334,,,,,,,,34665.60959555555,6289.2320603,,33138.17841102222,8317.795265305556,11914.613189888889,,,,,,7558.112212816664,,8369.85653987778,,26314.207855366658,,30341.71881883331,16334.37166962221,,37467.453814388864
891126d315bffff,,,,,39132.157397122224,,,78414.42015726666,36254.596313755545,,,,,,,,,,,,25030.09300477779,,,14348.73722263334,17081.60847197778,13150.432446433337,23653.336483000006,,20693.333682000004,,,,,,,13517.274962100004,,,,11271.079143411114,7821.935197572227,,17536.964365277778,,5484.71665381111,43455.64491986668,28980.762758500012,,,,8471.784912966667,,,,,,35857.75881838892,,,,,,,,,,,,,9697.617703355558,,,,,,,,,,,,,,,,,,,,,,,,5473.129032155556,4673.067210038888,17977.69093112223,20005.139257483337,5252.590617750004,12884.527959527775,70588.77858122227,,,,,,,,,,,,,,
891126d31cbffff,,,,,,,,,,,46465.01075191111,,23964.257160277786,,,,23576.69450639999,,,,,,,,7385.347534366667,11550.87810193334,,,2946.653908294445,,,,,,,12717.497789849998,,13077.98905536667,11459.3631698,,7022.158025322224,13093.680379266667,,,,5077.17513741667,,,,,,,,,19071.6833916,,,,,,,,,,,,,,,,12446.522977194443,,,,,,,,,18192.530417988877,,,,74193.51333022224,17343.313122022228,57350.65025503334,,,,21323.785695022223,,,,,,,,,,9543.189220483337,,,,,,,,51036.416448111115,13660.495356472218,14644.784944377774,32982.65284012222,39709.599302683324,,15635.888338466664
891126d31cfffff,,,,,,,,,,,,,,,,,,,,,14446.235732172225,,,13428.203274655552,13104.67498036666,8506.405453,,,5834.8537804277785,,,,,,,15448.464191883331,,,,26404.536746388887,19506.248854711113,,,,,20961.61618133333,3272.4831223388896,,,,5776.399744266666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9885.018129116668,,,,,,,,,,,,,,,,,,,,
891126d3223ffff,,,,,,,,,4033.5479127222225,,,,,,,,,,,,,,,,,,,,,,,,,14447.670841916666,15685.707995338882,,,,,,,13028.459978566669,18474.61843585557,,,,,,,,,,,,3550.66906495,,1715.7567223611115,,3821.412599588888,,,,14939.972786316663,,,,,19190.109596544447,,,,,,,,,,,,6868.4886087611085,,,8412.803088511107,,7136.409365555555,8213.133067455556,,,,,,,,,,,,,,,,,,,,,,,,,,14800.891675422215,,5581.082494088891
891126d3227ffff,,,,,,,,,,,,,,,,,,,,,38480.81920013336,,16034.955591122225,,,,,,,,,,,,,40185.04167268891,,23860.864026416668,,,,,,,,,,,,,,,,6372.646331644442,,,,,11145.327502438893,,20169.103510888883,,,,,,,,,10138.04220955556,,19333.703593866667,,,,,,,,4376.497630205556,,,,11144.380301716665,,1614.5755551722223,,,,,,,,,,,,,,,,,,,,,,,,,12239.535082483331,19317.771906222224,,25320.457631000005
891126d3237ffff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10640.686432444441,,,,10796.212003344448,,,,,,,,,,19247.64445084446,,,,3128.681567822223,,,,,,8599.49781981111,,,,,,,,,,,,,22079.56074205,16699.60709958333,18522.22019585,,,,,8931.186076944445,6779.393200494443,8571.851201511108,,,4265.614646727777,,,,,11504.812265177783,13666.312888122224,,,,,,,,,,,,,,,,,,4090.531257905553,,,,6382.259194850001
891126d32a7ffff,28464.215739944433,,,,,,,,,,,,,,,,,,,,,,,20021.067789605557,,,19626.673538927775,,,,,,,,,,,,,15979.140496433332,,,,,,,,,,,50257.73301702224,,,7729.839105294445,,,,,,,,,,,,,,,19173.49316057776,,,,,,,,21585.50345680553,24146.189936516643,21793.351231322198,,,,,,,,,,,,,,,,,,,18171.51376949999,,,,,,,,,,,,,,,,126032.55883539992
891126d32b7ffff,23380.14970367221,65078.59169454999,,,,,,,,,,,,,,,,,,,49704.90195416668,,19922.24091402222,,11573.240907083331,16084.496528333333,,,,,4418.839297872223,11398.448098333332,,38238.67269444446,16434.402376933333,10524.312078622224,,33735.88382896667,6378.742582955552,5509.137240288889,6207.430804866664,31055.62688666667,,,,15561.10251620555,16251.040421155552,,,,,,,,,,,,,,,,,27307.729576399994,,76137.22715413889,16490.069216483334,40520.7990301333,60251.08713353332,75900.07230376668,54311.33688493332,22355.463555522223,,23864.505172627774,19357.38290464998,,16830.67650277222,,,,15132.983186533329,,,,,,53737.891937916655,,,,65027.24204464449,65560.53356984443,,34151.77507478333,,23192.239280233334,26553.491649533342,17986.85902891111,,,,,,,,,,8229.091250605557,18260.9649901,,,17343.57405106667,15595.18340753333,
891126d3303ffff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17045.308432444446,,3747.0241010999985,49513.58710308892,,,,,,,,,10932.43475516111,,69282.44325041666,,,9088.56187197778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891126d3307ffff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36950.68384186668,16347.696841505565,,,20160.801223111113,,,,,,,,,,,,,,,,,,,2775.490385344445,,,,,14831.082351905552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891126d330bffff,,,,,16885.58427601111,,,,28016.04638528889,,,,,8903.492017000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32582.962915883334,,,,,,,,,,,,,,3467.6699079944447,,,,,,,,3613.6597083611123,,,,5290.348236522222,5343.210088844444,11306.375726877777,,,,,,,,,,,,,,,,,,,,,,,,,,,,
