,Hexagon_ID,geometry,H3_centroids
10,891126d14b3ffff,"POLYGON ((24.954777825984117 60.15756307699168, 24.95745998768932 60.15687303218378, 24.959916198505592 60.15788445853599, 24.959690260963953 60.159585992945736, 24.95700787038668 60.16027604944448, 24.954551646233565 60.15926455984107, 24.954777825984117 60.15756307699168))",POINT (60.15857454622721 24.957233940046752)
11,891126d33a3ffff,"POLYGON ((24.939551146102634 60.17462250106527, 24.9422345417263 60.17393307633249, 24.944691149300155 60.174944880014195, 24.944464374471668 60.17664617166746, 24.941780749708666 60.177335608057334, 24.939324128923975 60.17632374113523, 24.939551146102634 60.17462250106527))",POINT (60.17563434762359 24.942007656771462)
12,891126d334bffff,"POLYGON ((24.949639818483043 60.157241513108055, 24.95232191875891 60.156551585247634, 24.954777825984117 60.15756307699168, 24.954551646233565 60.15926455984107, 24.95186931707705 60.159954499378415, 24.949413396562232 60.15894294438782, 24.949639818483043 60.157241513108055))",POINT (60.158253047726106 24.952095628938036)
13,891126d1583ffff,"POLYGON ((24.965932099681122 60.171128012822756, 24.968615406054404 60.17043790948933, 24.971073202405485 60.171449324883525, 24.97084770584331 60.17315090687289, 24.968164170444076 60.17384102193282, 24.965706360643455 60.172829543275256, 24.965932099681122 60.171128012822756))",POINT (60.172139471135345 24.968389799241724)
14,891126d33abffff,"POLYGON ((24.94246140457641 60.17223179418705, 24.945144632675337 60.17154226414302, 24.947601227013557 60.17255400458208, 24.947374606498958 60.17425533830623, 24.944691149300155 60.174944880014195, 24.9422345417263 60.17393307633249, 24.94246140457641 60.17223179418705))",POINT (60.17324357750504 24.944917902033648)
15,891126d3147ffff,"POLYGON ((24.928589664567628 60.17908057422065, 24.931273333579544 60.17839147709185, 24.933729663536447 60.17940347262539, 24.93350233760593 60.181104628517474, 24.930818439367254 60.18179373727582, 24.928362096296365 60.18078167851094, 24.928589664567628 60.17908057422065))",POINT (60.18009261261696 24.93104589755489)
16,891126d3353ffff,"POLYGON ((24.941593305802186 60.15931085227947, 24.944275511993666 60.15862114662314, 24.946731128867636 60.15963276697765, 24.946504552778304 60.16133415622662, 24.943822117658193 60.16202387353916, 24.941366487566548 60.16101218994494, 24.941593305802186 60.15931085227947))",POINT (60.160322515496425 24.94404882586538)
17,891126d3177ffff,"POLYGON ((24.933047619281897 60.184506907695486, 24.935731746778245 60.183817787300484, 24.938188711152623 60.184829778543254, 24.937961561200137 60.186530953415684, 24.935277204415307 60.18722008545446, 24.93282022688193 60.186208030975465, 24.933047619281897 60.184506907695486))",POINT (60.18551894181506 24.935504486671743)
18,891126d306bffff,"POLYGON ((24.923272294733167 60.16073444729428, 24.925954483463567 60.16004519763178, 24.92840920247597 60.16105707716432, 24.928181745819735 60.162758269581296, 24.925499328095636 60.16344753085137, 24.923044596031957 60.162435588095306, 24.923272294733167 60.16073444729428))",POINT (60.161746369659056 24.925726916861084)
19,891126d3337ffff,"POLYGON ((24.949831517989555 60.17526707658208, 24.952515036722286 60.17457741788499, 24.95497225212708 60.17558909073175, 24.954745962115016 60.17729048552371, 24.952062214260163 60.1779801559058, 24.949604985549936 60.17696841980937, 24.949831517989555 60.17526707658208))",POINT (60.176278792324105 24.952288636522532)
20,891126d3323ffff,"POLYGON ((24.952741414862704 60.17287603259145, 24.955424766005454 60.17218626858298, 24.957881968080038 60.173197878177845, 24.95765583235253 60.17489931503148, 24.95497225212708 60.17558909073175, 24.952515036722286 60.17457741788499, 24.952741414862704 60.17287603259145))",POINT (60.173887685083834 24.95519852008948)
