,index,id,lat,lon
1766,2745,8908996aa8bffff,60.22514304727744,24.70983986041121
1767,2746,8908996aa8bffff,60.22514304727744,24.70983986041121
1768,2748,8908996aa8bffff,60.22514304727744,24.70983986041121
1769,2749,8908996aa8bffff,60.22514304727744,24.70983986041121
1770,2750,8908996aa8bffff,60.22514304727744,24.70983986041121
1771,2751,8908996aa8bffff,60.22514304727744,24.70983986041121
1772,2752,8908996aa8bffff,60.22514304727744,24.70983986041121
1773,2753,8908996aa8fffff,60.22785708325915,24.712049268599063
1774,2754,8908996aa8fffff,60.22785708325915,24.712049268599063
1775,2755,8908996aa8fffff,60.22785708325915,24.712049268599063
1776,2758,8908996aa97ffff,60.229906311602164,24.703991183310773
1777,2760,8908996aa9bffff,60.22481070486586,24.704706821550808
1778,2762,8908996aaa3ffff,60.23328517919856,24.716469292112194
1779,2763,8908996aaa3ffff,60.23328517919856,24.716469292112194
1780,2764,8908996aaa3ffff,60.23328517919856,24.716469292112194
1781,2765,8908996aaa3ffff,60.23328517919856,24.716469292112194
1782,2767,8908996aaafffff,60.23361730266204,24.721604340421678
1783,2768,8908996aaafffff,60.23361730266204,24.721604340421678
1784,2769,8908996aaafffff,60.23361730266204,24.721604340421678
1785,2770,8908996aaafffff,60.23361730266204,24.721604340421678
1786,2772,8908996aaafffff,60.23361730266204,24.721604340421678
1787,2773,8908996aaafffff,60.23361730266204,24.721604340421678
1788,2775,8908996aab7ffff,60.235666947088596,24.713544681299425
1789,2778,8908996aac3ffff,60.22004718585989,24.710554565164006
1790,2779,8908996aac3ffff,60.22004718585989,24.710554565164006
1791,2781,8908996aad7ffff,60.222429019321034,24.70763085446475
1792,2782,8908996aad7ffff,60.222429019321034,24.70763085446475
1793,2783,8908996aad7ffff,60.222429019321034,24.70763085446475
1794,2785,8908996aad7ffff,60.222429019321034,24.70763085446475
1795,2786,8908996aad7ffff,60.222429019321034,24.70763085446475
1796,2787,8908996ab0bffff,60.242423094860634,24.738513523221187
1797,2788,8908996ab0bffff,60.242423094860634,24.738513523221187
1798,2789,8908996ab0bffff,60.242423094860634,24.738513523221187
1799,2791,8908996ab0bffff,60.242423094860634,24.738513523221187
1800,2792,8908996ab0bffff,60.242423094860634,24.738513523221187
1801,2794,8908996ab47ffff,60.240040611488546,24.741437709842206
1802,2795,8908996ab47ffff,60.240040611488546,24.741437709842206
1803,2796,8908996ab47ffff,60.240040611488546,24.741437709842206
1804,2797,8908996ab47ffff,60.240040611488546,24.741437709842206
1805,2798,8908996ab47ffff,60.240040611488546,24.741437709842206
1806,2799,8908996ab47ffff,60.240040611488546,24.741437709842206
1807,2800,8908996ab47ffff,60.240040611488546,24.741437709842206
1808,2802,8908996ab47ffff,60.240040611488546,24.741437709842206
1809,2803,8908996ab47ffff,60.240040611488546,24.741437709842206
1810,2804,8908996ab47ffff,60.240040611488546,24.741437709842206
1811,2805,8908996ab47ffff,60.240040611488546,24.741437709842206
1812,2807,8908996ab4bffff,60.23494398389539,24.742148222644204
1813,2808,8908996ab4bffff,60.23494398389539,24.742148222644204
1814,2809,8908996ab4bffff,60.23494398389539,24.742148222644204
1815,2811,8908996ab4bffff,60.23494398389539,24.742148222644204
1816,2812,8908996ab4bffff,60.23494398389539,24.742148222644204
1817,2813,8908996ab57ffff,60.23970905736043,24.736300460401047
1818,2815,8908996ab57ffff,60.23970905736043,24.736300460401047
1819,2816,8908996ab57ffff,60.23970905736043,24.736300460401047
1820,2817,8908996ab57ffff,60.23970905736043,24.736300460401047
1821,2818,8908996ab57ffff,60.23970905736043,24.736300460401047
1822,2820,8908996ab63ffff,60.24308599606393,24.748789485761016
1823,2822,8908996ab67ffff,60.24580001567258,24.751004046707234
1824,2823,8908996ab6bffff,60.240703175501935,24.751713315344052
1825,2824,8908996ab6bffff,60.240703175501935,24.751713315344052
1826,2825,8908996ab6bffff,60.240703175501935,24.751713315344052
1827,2826,8908996ab6bffff,60.240703175501935,24.751713315344052
1828,2827,8908996ab6bffff,60.240703175501935,24.751713315344052
1829,2829,8908996ab6fffff,60.243417174476726,24.753928020375202
1830,2834,8908996ab97ffff,60.24890501866872,24.71946347059909
1831,2835,8908996ab97ffff,60.24890501866872,24.71946347059909
1832,2837,8908996ab9bffff,60.24380921230144,24.720177302587267
1833,2839,8908996abb3ffff,60.25195154837454,24.726813549672386
1834,2840,8908996abb3ffff,60.25195154837454,24.726813549672386
1835,2841,8908996abb3ffff,60.25195154837454,24.726813549672386
1836,2842,8908996abb3ffff,60.25195154837454,24.726813549672386
1837,2843,8908996abb3ffff,60.25195154837454,24.726813549672386
1838,2844,8908996abb3ffff,60.25195154837454,24.726813549672386
1839,2845,8908996abb3ffff,60.25195154837454,24.726813549672386
1840,2846,8908996abb3ffff,60.25195154837454,24.726813549672386
1841,2847,8908996abb3ffff,60.25195154837454,24.726813549672386
1842,2848,8908996abb3ffff,60.25195154837454,24.726813549672386
1843,2849,8908996abb3ffff,60.25195154837454,24.726813549672386
1844,2851,8908996abb3ffff,60.25195154837454,24.726813549672386
1845,2852,8908996abb3ffff,60.25195154837454,24.726813549672386
1846,2853,8908996abb3ffff,60.25195154837454,24.726813549672386
1847,2855,8908996abd7ffff,60.24142738267244,24.72310234677607
1848,2856,8908996abd7ffff,60.24142738267244,24.72310234677607
1849,2858,8908996abd7ffff,60.24142738267244,24.72310234677607
1850,2862,8908996ae33ffff,60.22890773013674,24.688592107425087
1851,2863,8908996ae33ffff,60.22890773013674,24.688592107425087
1852,2864,8908996ae33ffff,60.22890773013674,24.688592107425087
1853,2865,8908996ae33ffff,60.22890773013674,24.688592107425087
1854,2867,8908996ae33ffff,60.22890773013674,24.688592107425087
1855,2868,8908996ae37ffff,60.231621844819855,24.690799586177725
1856,2871,8908996ae47ffff,60.21871735407918,24.690027520085753
1857,2872,8908996ae63ffff,60.22176412839625,24.69736623886945
1858,2874,8908996ae63ffff,60.22176412839625,24.69736623886945
1859,2875,8908996ae67ffff,60.22447818140173,24.69957415160487
1860,2876,8908996ae67ffff,60.22447818140173,24.69957415160487
1861,2877,8908996ae67ffff,60.22447818140173,24.69957415160487
1862,2878,8908996ae67ffff,60.22447818140173,24.69957415160487
1863,2880,8908996ae6bffff,60.21938263194494,24.7002903049458
1864,2882,8908996ae6fffff,60.2220966643687,24.70249836222862
1865,2883,8908996ae6fffff,60.2220966643687,24.70249836222862
1866,2884,8908996ae6fffff,60.2220966643687,24.70249836222862
1867,2885,8908996ae6fffff,60.2220966643687,24.70249836222862
1868,2886,8908996ae6fffff,60.2220966643687,24.70249836222862
1869,2887,8908996ae6fffff,60.2220966643687,24.70249836222862
1870,2890,8908996ae7bffff,60.2190500834872,24.69515872807474
1871,2892,8908996ae97ffff,60.22757375480683,24.66806517467729
1872,2893,8908996ae97ffff,60.22757375480683,24.66806517467729
1873,2897,8908996b003ffff,60.14981821837275,24.658376009255345
1874,2898,8908996b007ffff,60.15253199627936,24.660575281659405
1875,2899,8908996b007ffff,60.15253199627936,24.660575281659405
1876,2902,8908996b017ffff,60.15219968381912,24.655456231390012
1877,2903,8908996b017ffff,60.15219968381912,24.655456231390012
1878,2905,8908996b017ffff,60.15219968381912,24.655456231390012
1879,2906,8908996b017ffff,60.15219968381912,24.655456231390012
1880,2907,8908996b017ffff,60.15219968381912,24.655456231390012
1881,2908,8908996b017ffff,60.15219968381912,24.655456231390012
1882,2909,8908996b017ffff,60.15219968381912,24.655456231390012
1883,2911,8908996b01bffff,60.14710444914346,24.656177136409667
1884,2913,8908996b027ffff,60.158291686091914,24.67009553205176
1885,2915,8908996b027ffff,60.158291686091914,24.67009553205176
1886,2916,8908996b027ffff,60.158291686091914,24.67009553205176
1887,2919,8908996b037ffff,60.15795957802493,24.664975025552465
1888,2920,8908996b037ffff,60.15795957802493,24.664975025552465
1889,2921,8908996b037ffff,60.15795957802493,24.664975025552465
1890,2925,8908996b04fffff,60.14267293647689,24.667133418656988
1891,2927,8908996b053ffff,60.1420091169147,24.65689783130317
1892,2928,8908996b053ffff,60.1420091169147,24.65689783130317
1893,2929,8908996b053ffff,60.1420091169147,24.65689783130317
1894,2930,8908996b05bffff,60.13962739764811,24.65981667901262
1895,2931,8908996b05bffff,60.13962739764811,24.65981667901262
1896,2933,8908996b05bffff,60.13962739764811,24.65981667901262
1897,2935,8908996b063ffff,60.14810037685413,24.671533229309663
1898,2936,8908996b067ffff,60.15081411000526,24.673733734210185
1899,2937,8908996b067ffff,60.15081411000526,24.673733734210185
1900,2938,8908996b067ffff,60.15081411000526,24.673733734210185
1901,2939,8908996b067ffff,60.15081411000526,24.673733734210185
1902,2941,8908996b067ffff,60.15081411000526,24.673733734210185
1903,2942,8908996b067ffff,60.15081411000526,24.673733734210185
1904,2944,8908996b067ffff,60.15081411000526,24.673733734210185
1905,2945,8908996b06fffff,60.148431992130924,24.676652662151746
1906,2946,8908996b06fffff,60.148431992130924,24.676652662151746
1907,2947,8908996b06fffff,60.148431992130924,24.676652662151746
1908,2948,8908996b06fffff,60.148431992130924,24.676652662151746
1909,2950,8908996b06fffff,60.148431992130924,24.676652662151746
1910,2951,8908996b073ffff,60.147768581239134,24.666414164043882
1911,2953,8908996b073ffff,60.147768581239134,24.666414164043882
1912,2956,8908996b08bffff,60.149153389261826,24.64813936458182
1913,2957,8908996b08bffff,60.149153389261826,24.64813936458182
1914,2958,8908996b08bffff,60.149153389261826,24.64813936458182
1915,2959,8908996b08bffff,60.149153389261826,24.64813936458182
1916,2960,8908996b08bffff,60.149153389261826,24.64813936458182
1917,2961,8908996b08bffff,60.149153389261826,24.64813936458182
1918,2962,8908996b08bffff,60.149153389261826,24.64813936458182
1919,2963,8908996b08bffff,60.149153389261826,24.64813936458182
1920,2964,8908996b08bffff,60.149153389261826,24.64813936458182
1921,2965,8908996b08bffff,60.149153389261826,24.64813936458182
1922,2966,8908996b08bffff,60.149153389261826,24.64813936458182
1923,2967,8908996b08bffff,60.149153389261826,24.64813936458182
1924,2969,8908996b08bffff,60.149153389261826,24.64813936458182
1925,2970,8908996b08bffff,60.149153389261826,24.64813936458182
1926,2971,8908996b08bffff,60.149153389261826,24.64813936458182
1927,2972,8908996b08bffff,60.149153389261826,24.64813936458182
1928,2973,8908996b08bffff,60.149153389261826,24.64813936458182
1929,2974,8908996b08bffff,60.149153389261826,24.64813936458182
1930,2975,8908996b08bffff,60.149153389261826,24.64813936458182
1931,2976,8908996b08fffff,60.15186719110509,24.65033754894001
1932,2978,8908996b093ffff,60.15120166506447,24.640101287666642
1933,2979,8908996b093ffff,60.15120166506447,24.640101287666642
1934,2980,8908996b093ffff,60.15120166506447,24.640101287666642
1935,2982,8908996b093ffff,60.15120166506447,24.640101287666642
1936,2983,8908996b093ffff,60.15120166506447,24.640101287666642
1937,2984,8908996b097ffff,60.15391549945947,24.64229878339695
1938,2985,8908996b097ffff,60.15391549945947,24.64229878339695
1939,2986,8908996b097ffff,60.15391549945947,24.64229878339695
1940,2987,8908996b097ffff,60.15391549945947,24.64229878339695
1941,2988,8908996b097ffff,60.15391549945947,24.64229878339695
1942,2989,8908996b097ffff,60.15391549945947,24.64229878339695
1943,2990,8908996b097ffff,60.15391549945947,24.64229878339695
1944,2992,8908996b097ffff,60.15391549945947,24.64229878339695
1945,2993,8908996b097ffff,60.15391549945947,24.64229878339695
1946,2994,8908996b0afffff,60.15762728960238,24.659854886905325
1947,2996,8908996b0afffff,60.15762728960238,24.659854886905325
1948,2997,8908996b0afffff,60.15762728960238,24.659854886905325
1949,2999,8908996b0c3ffff,60.14405834027143,24.648861244581145
1950,3001,8908996b0c7ffff,60.14677211273721,24.65105917412542
1951,3002,8908996b0c7ffff,60.14677211273721,24.65105917412542
1952,3003,8908996b0c7ffff,60.14677211273721,24.65105917412542
1953,3004,8908996b0c7ffff,60.14677211273721,24.65105917412542
1954,3005,8908996b0c7ffff,60.14677211273721,24.65105917412542
1955,3006,8908996b0c7ffff,60.14677211273721,24.65105917412542
1956,3007,8908996b0c7ffff,60.14677211273721,24.65105917412542
1957,3009,8908996b0cbffff,60.14167693681611,24.65178058898391
1958,3010,8908996b0cbffff,60.14167693681611,24.65178058898391
1959,3011,8908996b0cbffff,60.14167693681611,24.65178058898391
1960,3012,8908996b0cbffff,60.14167693681611,24.65178058898391
1961,3014,8908996b0cbffff,60.14167693681611,24.65178058898391
1962,3015,8908996b0cbffff,60.14167693681611,24.65178058898391
1963,3016,8908996b0cfffff,60.14439068861628,24.653978663019984
1964,3017,8908996b0cfffff,60.14439068861628,24.653978663019984
1965,3018,8908996b0cfffff,60.14439068861628,24.653978663019984
1966,3019,8908996b0cfffff,60.14439068861628,24.653978663019984
1967,3020,8908996b0cfffff,60.14439068861628,24.653978663019984
1968,3021,8908996b0cfffff,60.14439068861628,24.653978663019984
1969,3022,8908996b0cfffff,60.14439068861628,24.653978663019984
1970,3023,8908996b0cfffff,60.14439068861628,24.653978663019984
1971,3024,8908996b0cfffff,60.14439068861628,24.653978663019984
1972,3025,8908996b0cfffff,60.14439068861628,24.653978663019984
1973,3027,8908996b0cfffff,60.14439068861628,24.653978663019984
1974,3028,8908996b0d3ffff,60.14372581176947,24.643744193849567
1975,3029,8908996b0d3ffff,60.14372581176947,24.643744193849567
1976,3031,8908996b0d7ffff,60.14643959614166,24.64594157958582
