,id,lat,lon
792,89089968bb7ffff,60.24260697,24.82146187
793,89089968bb7ffff,60.24260697,24.82146187
794,89089968bb7ffff,60.24260697,24.82146187
795,89089968bb7ffff,60.24260697,24.82146187
796,89089968bb7ffff,60.24260697,24.82146187
797,89089968bb7ffff,60.24260697,24.82146187
798,89089968bb7ffff,60.24260697,24.82146187
799,89089968bb7ffff,60.24260697,24.82146187
800,89089968bb7ffff,60.24260697,24.82146187
801,89089968bb7ffff,60.24260697,24.82146187
802,89089968bb7ffff,60.24260697,24.82146187
803,89089968bb7ffff,60.24260697,24.82146187
804,89089968bb7ffff,60.24260697,24.82146187
805,89089968bb7ffff,60.24260697,24.82146187
806,89089968bb7ffff,60.24260697,24.82146187
807,89089968bb7ffff,60.24260697,24.82146187
808,89089968bbbffff,60.23750789,24.82216102
809,89089968bbbffff,60.23750789,24.82216102
810,89089968bbbffff,60.23750789,24.82216102
811,89089968bc3ffff,60.22698122,24.81841829
812,89089968bc3ffff,60.22698122,24.81841829
813,89089968bc3ffff,60.22698122,24.81841829
814,89089968bc3ffff,60.22698122,24.81841829
815,89089968bc7ffff,60.22969495,24.82063892
816,89089968bc7ffff,60.22969495,24.82063892
817,89089968bcbffff,60.2245957,24.82133792
818,89089968bdbffff,60.22426749,24.81619805
819,89089968bdbffff,60.22426749,24.81619805
820,89089968bdbffff,60.22426749,24.81619805
821,89089968c0fffff,60.22845651,24.76119053
822,89089968c0fffff,60.22845651,24.76119053
823,89089968c0fffff,60.22845651,24.76119053
824,89089968c0fffff,60.22845651,24.76119053
825,89089968c27ffff,60.23659825,24.76783637
826,89089968c27ffff,60.23659825,24.76783637
827,89089968c27ffff,60.23659825,24.76783637
828,89089968c27ffff,60.23659825,24.76783637
829,89089968c27ffff,60.23659825,24.76783637
830,89089968c27ffff,60.23659825,24.76783637
831,89089968c27ffff,60.23659825,24.76783637
832,89089968c27ffff,60.23659825,24.76783637
833,89089968c2bffff,60.23150075,24.76854305
834,89089968c2bffff,60.23150075,24.76854305
835,89089968c3bffff,60.23117041,24.76340541
836,89089968c3bffff,60.23117041,24.76340541
837,89089968c3bffff,60.23117041,24.76340541
838,89089968c3bffff,60.23117041,24.76340541
839,89089968c67ffff,60.22911702,24.77146509
840,89089968c6fffff,60.22673314,24.7743868
841,89089968c6fffff,60.22673314,24.7743868
842,89089968c6fffff,60.22673314,24.7743868
843,89089968c6fffff,60.22673314,24.7743868
844,89089968c6fffff,60.22673314,24.7743868
845,89089968c73ffff,60.22607297,24.7641126
846,89089968c77ffff,60.22878685,24.76632762
847,89089968c8bffff,60.22746437,24.74578146
848,89089968c8fffff,60.23017832,24.74799469
849,89089968c8fffff,60.23017832,24.74799469
850,89089968c8fffff,60.23017832,24.74799469
851,89089968c8fffff,60.23017832,24.74799469
852,89089968c8fffff,60.23017832,24.74799469
853,89089968c8fffff,60.23017832,24.74799469
