,id,lat,lon,nearest_osm_node
973,891126d05abffff,60.22796177166368,24.955783366882947,1417896055
974,891126d05b3ffff,60.23002832330069,24.94772001753586,891591128
975,891126d05b7ffff,60.23274169018059,24.94995408470244,1417896055
976,891126d05bbffff,60.22763845892645,24.950634678624507,1417896055
977,891126d05c3ffff,60.21710851479853,24.94684840553556,891591128
978,891126d05c7ffff,60.219821818443016,24.94908153625509,891591128
979,891126d05cbffff,60.21471841837478,24.949761996769038,893936740
980,891126d05cfffff,60.21743170093823,24.951995268866416,1417896055
981,891126d05dbffff,60.21439521824402,24.94461568105409,891591128
982,891126d0603ffff,60.187131144447385,24.96121512384139,1535131254
983,891126d060bffff,60.18473995247525,24.96412557125957,1636360753
984,891126d060fffff,60.187453037407295,24.96635834822091,1636360753
985,891126d0617ffff,60.18952218898816,24.958304354276915,1417896055
986,891126d061bffff,60.18441804554369,24.958982893605725,11696576747
987,891126d0623ffff,60.192879228795405,24.970825119873105,1636360753
988,891126d0627ffff,60.19559233520093,24.973059114771758,1636360753
989,891126d0633ffff,60.192557363848906,24.96568080174769,1636360753
990,891126d063bffff,60.19016612952246,24.96859153105744,1636360753
991,891126d0653ffff,60.1793138042617,24.959661234547056,656511015
992,891126d065bffff,60.17692250725844,24.96257107805583,469726782
993,891126d066fffff,60.185704577661575,24.97955579710569,1636360753
994,891126d0683ffff,60.18887751818509,24.948018640176603,891591128
995,891126d068bffff,60.1864868108492,24.95092977189641,893936740
996,891126d068fffff,60.1891999448516,24.953161314369783,893936740
997,891126d0697ffff,60.19126807806478,24.94510718630794,891591128
998,891126d069bffff,60.18616437028548,24.94578764441864,891591128
999,891126d06a3ffff,60.19462623451479,24.957625616473788,1417896055
1000,891126d06afffff,60.19494845072169,24.962769750178744,1636360753
1001,891126d06b3ffff,60.19430383571278,24.952481848555102,893936740
1002,891126d06b7ffff,60.19701700529029,24.954714061383356,1417896055
1003,891126d06bbffff,60.191913086081904,24.95539326252763,1417896055
1004,891126d06c3ffff,60.18138285048515,24.95160930353464,316260793
1005,891126d06c7ffff,60.18409595607284,24.953840581505787,893936740
1006,891126d06cbffff,60.17899186945679,24.954519650050084,1533456589
1007,891126d06cfffff,60.18170495387174,24.956751069043204,956868141
1008,891126d06d7ffff,60.18377368409994,24.948698635003648,878527583
1009,891126d088bffff,60.245713984580966,25.03396315773983,1636360753
1010,891126d088fffff,60.24842716341785,25.036207083928893,1636360753
1011,891126d08c7ffff,60.24332150422831,25.036875650443545,1636360753
1012,891126d08d7ffff,60.24300081230111,25.03171964000921,1636360753
1013,891126d0907ffff,60.2680605318618,25.06224828872495,1636360753
1014,891126d0913ffff,60.26502694696324,25.05483962952787,1636360753
1015,891126d0927ffff,60.27380710154998,25.07190808048524,1636360753
1016,891126d092bffff,60.268700731858345,25.07257202986151,1636360753
1017,891126d092fffff,60.271413902682085,25.074821427146524,1636360753
1018,891126d0933ffff,60.27077373252807,25.064496586109307,1636360753
1019,891126d0943ffff,60.25784811140967,25.06357853659082,1636360753
1020,891126d094bffff,60.25545487086681,25.066490858118836,1636360753
1021,891126d094fffff,60.25816799528744,25.06873875750425,1636360753
1022,891126d096fffff,60.26391393338878,25.07839747084076,1636360753
1023,891126d0977ffff,60.26598756729372,25.070323042268463,1636360753
1024,891126d0997ffff,60.269491186740254,25.04385130071121,1636360753
1025,891126d09a7ffff,60.27555930682804,25.05866883407591,1636360753
1026,891126d09b3ffff,60.27252535031413,25.051259129469724,1636360753
1027,891126d09bbffff,60.270132827114345,25.05417321051146,1636360753
1028,891126d09cbffff,60.25720779251471,25.0532591930814,1636360753
1029,891126d0a07ffff,60.23231533111779,25.06690074546698,1636360753
1030,891126d0a0bffff,60.22720847927437,25.067564603219388,1636360753
1031,891126d0a17ffff,60.231996033739016,25.06174455273575,1636360753
1032,891126d0a1bffff,60.226889335941785,25.06240914228758,1636360753
1033,891126d0a27ffff,60.23806043644687,25.076551639459403,1636360753
1034,891126d0a2fffff,60.23566635279007,25.079461739665906,1636360753
1035,891126d0a33ffff,60.23502833846529,25.069147160080565,1636360753
1036,891126d0a37ffff,60.23774135228518,25.071393983516376,1636360753
1037,891126d0a3bffff,60.23263444491204,25.072057303707435,1636360753
1038,891126d0a47ffff,60.22481448077343,25.07047414372026,1636360753
1039,891126d0a4fffff,60.22242033478115,25.07338336111228,1636360753
1040,891126d0a53ffff,60.2217825397374,25.063073537158218,1636360753
1041,891126d0a57ffff,60.22449550623056,25.06531886593775,1636360753
1042,891126d0a6fffff,60.22816480778455,25.0830331781948,1636360753
1043,891126d0a73ffff,60.227527439050576,25.072720429544308,1636360753
1044,891126d0a77ffff,60.23024040382938,25.074967124073492,1636360753
1045,891126d0a93ffff,60.23103704046876,25.046278168044044,1636360753
1046,891126d0aa3ffff,60.23710263304876,25.061079768417382,1636360753
1047,891126d0aafffff,60.23742208447336,25.06623669315411,1636360753
1048,891126d0ac3ffff,60.22385700661138,25.055009406489365,1636360753
1049,891126d0ac7ffff,60.22657000909016,25.057254046793467,1636360753
1050,891126d0acfffff,60.22417634816412,25.06016395351258,1636360753
1051,891126d0ad3ffff,60.223537481609725,25.049855224912687,1636360753
1052,891126d0ad7ffff,60.22625049875686,25.052099316781707,1636360753
1053,891126d0b03ffff,60.24859347177927,25.08038536757568,1636360753
1054,891126d0b0fffff,60.2489124963931,25.08554522010635,1636360753
1055,891126d0b2bffff,60.25194435306341,25.092955406256262,1636360753
1056,891126d0b3bffff,60.25162552724702,25.087794638617492,1636360753
1057,891126d0b43ffff,60.24109232745187,25.083957991335044,1636360753
1058,891126d0b47ffff,60.24380532435696,25.086206730960257,1636360753
1059,891126d0b5bffff,60.23837933692108,25.081709660938536,1636360753
1060,891126d0b63ffff,60.24683699953792,25.093615914396587,1636360753
1061,891126d0b73ffff,60.246518327610914,25.08845587991898,1636360753
