,Hexagon_ID,geometry,H3_centroids
14,891126d3317ffff,"POLYGON ((24.940232064945473 60.16951871573215, 24.94291506397535 60.16882919734489, 24.945371341228466 60.16984093993104, 24.945144632675337 60.17154226414302, 24.94246140457641 60.17223179418705, 24.940005114110186 60.17121998836071, 24.940232064945473 60.16951871573215))",POINT (60.170530501190186 24.942688245325023)
15,891126d338fffff,"POLYGON ((24.93509315408211 60.16919630921732, 24.937776091519627 60.16850690777742, 24.940232064945473 60.16951871573215, 24.940005114110186 60.17121998836071, 24.93732194759502 60.17190940144349, 24.934865961003315 60.17089753025326, 24.93509315408211 60.16919630921732))",POINT (60.170208160034655 24.9375490306178)
16,891126d3383ffff,"POLYGON ((24.929954608682035 60.16887372042383, 24.932637484486047 60.16818443591725, 24.93509315408211 60.16919630921732, 24.934865961003315 60.17089753025326, 24.9321828561131 60.17158682638875, 24.929727173398394 60.17057488985783, 24.929954608682035 60.16887372042383))",POINT (60.169885636577206 24.93241018137133)
17,891126d339bffff,"POLYGON ((24.92772676604408 60.16616062190297, 24.930409412792713 60.1654713490182, 24.932864765460398 60.166483224411905, 24.932637484486047 60.16818443591725, 24.929954608682035 60.16887372042383, 24.927499242918266 60.167861781801705, 24.92772676604408 60.16616062190297))",POINT (60.167172540142964 24.930182021812417)
18,891126d306fffff,"POLYGON ((24.925499328095636 60.16344753085137, 24.928181745819735 60.162758269581296, 24.93063678162617 60.16377014705252, 24.930409412792713 60.1654713490182, 24.92772676604408 60.16616062190297, 24.92527171716391 60.16514868120576, 24.925499328095636 60.16344753085137))",POINT (60.16445945116183 24.92795426701015)
19,891126d306bffff,"POLYGON ((24.923272294733167 60.16073444729428, 24.925954483463567 60.16004519763178, 24.92840920247597 60.16105707716432, 24.928181745819735 60.162758269581296, 24.925499328095636 60.16344753085137, 24.923044596031957 60.162435588095306, 24.923272294733167 60.16073444729428))",POINT (60.161746369659056 24.925726916861084)
20,891126d32a7ffff,"POLYGON ((24.926182027906236 60.158344014772574, 24.92886404934142 60.15765465983295, 24.93131875527781 60.158666476139715, 24.931091452865502 60.16036771061029, 24.92840920247597 60.16105707716432, 24.925954483463567 60.16004519763178, 24.926182027906236 60.158344014772574))",POINT (60.159355873913874 24.92863663698213)
21,891126d32afffff,"POLYGON ((24.929091439557144 60.15595343492449, 24.93177329370391 60.1552639747145, 24.934227986539533 60.156275727793286, 24.934000838339582 60.157977004308506, 24.93131875527781 60.158666476139715, 24.92886404934142 60.15765465983295, 24.929091439557144 60.15595343492449))",POINT (60.156965230840136 24.93154603555619)
22,891126d3237ffff,"POLYGON ((24.934227986539533 60.156275727793286, 24.93690990228031 60.155586150691654, 24.93936489871707 60.15659783847163, 24.939137992571556 60.15829916658429, 24.936455847924368 60.1589887553211, 24.934000838339582 60.157977004308506, 24.934227986539533 60.156275727793286))",POINT (60.15728745841941 24.936682886156355)
23,891126d3227ffff,"POLYGON ((24.93936489871707 60.15659783847163, 24.94204687601068 60.15590814446437, 24.94450217604616 60.15691976692228, 24.944275511993666 60.15862114662314, 24.941593305802186 60.15931085227947, 24.939137992571556 60.15829916658429, 24.93936489871707 60.15659783847163))",POINT (60.157609503784975 24.941820101949148)
