"from_id","to_id","travel_time_p50"
"891126d33c3ffff","891126d314bffff",20
"891126d33c3ffff","891126d315bffff",23
"891126d33c3ffff","891126d302fffff",21
"891126d33c3ffff","891126d302bffff",21
"891126d33c3ffff","891126d3077ffff",24
"891126d33c3ffff","891126d3073ffff",22
"891126d33c3ffff","891126d3047ffff",23
"891126d33c3ffff","891126d304fffff",25
"891126d33c3ffff","891126d32b3ffff",27
"891126d33c3ffff","891126d32bbffff",23
"891126d33c3ffff","891126d3217ffff",24
"891126d33c3ffff","891126d3207ffff",21
"891126d33c3ffff","891126d1487ffff",24
"891126d33c3ffff","891126d14b3ffff",22
"891126d33c3ffff","891126d14b7ffff",24
"891126d33c3ffff","891126d336bffff",35
"891126d33c3ffff","891126d336fffff",28
"891126d33c3ffff","891126d3367ffff",29
"891126d33c3ffff","891126d332bffff",29
"891126d33c3ffff","891126d3323ffff",26
"891126d33c3ffff","891126d3337ffff",26
"891126d33c3ffff","891126d06dbffff",23
"891126d33c3ffff","891126d33a7ffff",27
"891126d33c3ffff","891126d33b7ffff",30
"891126d33c3ffff","891126d314fffff",26
"891126d33c3ffff","891126d3143ffff",21
"891126d33c3ffff","891126d3153ffff",21
"891126d33c3ffff","891126d3027ffff",21
"891126d33c3ffff","891126d3023ffff",24
"891126d33c3ffff","891126d303bffff",24
"891126d33c3ffff","891126d300fffff",25
"891126d33c3ffff","891126d300bffff",22
"891126d33c3ffff","891126d3057ffff",27
"891126d33c3ffff","891126d3043ffff",24
"891126d33c3ffff","891126d304bffff",28
"891126d33c3ffff","891126d3287ffff",28
"891126d33c3ffff","891126d328fffff",26
"891126d33c3ffff","891126d3213ffff",29
"891126d33c3ffff","891126d3203ffff",27
"891126d33c3ffff","891126d148fffff",28
"891126d33c3ffff","891126d14bbffff",29
"891126d33c3ffff","891126d14a3ffff",28
"891126d33c3ffff","891126d15d3ffff",33
"891126d33c3ffff","891126d15d7ffff",30
"891126d33c3ffff","891126d159bffff",33
"891126d33c3ffff","891126d1593ffff",34
"891126d33c3ffff","891126d332fffff",30
"891126d33c3ffff","891126d3327ffff",31
"891126d33c3ffff","891126d06cbffff",26
"891126d33c3ffff","891126d06c3ffff",24
"891126d33c3ffff","891126d06d3ffff",25
"891126d33c3ffff","891126d316bffff",29
"891126d33c3ffff","891126d317bffff",35
"891126d33c3ffff","891126d3147ffff",23
"891126d33c3ffff","891126d3157ffff",24
"891126d33c3ffff","891126d31cfffff",24
"891126d33c3ffff","891126d31cbffff",23
"891126d33c3ffff","891126d3037ffff",26
"891126d33c3ffff","891126d3033ffff",29
"891126d33c3ffff","891126d3007ffff",30
"891126d33c3ffff","891126d3003ffff",26
"891126d33c3ffff","891126d301bffff",25
"891126d33cfffff","891126d33c7ffff",7
"891126d33cfffff","891126d33c3ffff",6
"891126d33cfffff","891126d33cfffff",0
"891126d33cfffff","891126d331bffff",7
"891126d33cfffff","891126d3313ffff",12
"891126d33cfffff","891126d338bffff",12
"891126d33cfffff","891126d33d7ffff",11
"891126d33cfffff","891126d33d3ffff",12
"891126d33cfffff","891126d33dbffff",11
"891126d33cfffff","891126d33cbffff",8
"891126d33cfffff","891126d3353ffff",9
"891126d33cfffff","891126d3357ffff",8
"891126d33cfffff","891126d330bffff",12
"891126d33cfffff","891126d3303ffff",13
"891126d33cfffff","891126d3317ffff",15
"891126d33cfffff","891126d338fffff",14
"891126d33cfffff","891126d3383ffff",15
"891126d33cfffff","891126d339bffff",15
"891126d33cfffff","891126d306fffff",18
"891126d33cfffff","891126d306bffff",18
"891126d33cfffff","891126d32a7ffff",14
"891126d33cfffff","891126d32afffff",16
"891126d33cfffff","891126d3237ffff",14
"891126d33cfffff","891126d3227ffff",11
"891126d33cfffff","891126d335bffff",14
"891126d33cfffff","891126d3343ffff",12
"891126d33cfffff","891126d3347ffff",14
"891126d33cfffff","891126d3373ffff",17
"891126d33cfffff","891126d330fffff",18
"891126d33cfffff","891126d3307ffff",18
"891126d33cfffff","891126d33abffff",21
"891126d33cfffff","891126d33bbffff",19
"891126d33cfffff","891126d3387ffff",17
"891126d33cfffff","891126d3397ffff",19
"891126d33cfffff","891126d3393ffff",14
"891126d33cfffff","891126d3067ffff",20
