,id,geometry,lon,lat
29,891126d3307ffff,POINT (24.947827825449295 60.17085266000653),24.947827825449295,60.17085266000653
30,891126d33abffff,POINT (24.944917902033648 60.17324357750504),24.944917902033648,60.17324357750504
31,891126d33bbffff,POINT (24.93977814116363 60.172921250139424),24.93977814116363,60.172921250139424
32,891126d3387ffff,POINT (24.934638745790597 60.17259874043934),24.934638745790597,60.17259874043934
33,891126d3397ffff,POINT (24.92949971595821 60.17227604844197),24.92949971595821,60.17227604844197
34,891126d3393ffff,POINT (24.92727169762939 60.169562930855044),24.92727169762939,60.169562930855044
35,891126d3067ffff,POINT (24.925044084062765 60.16684982071928),24.925044084062765,60.16684982071928
36,891126d3063ffff,POINT (24.922816875154833 60.1641367180599),24.922816875154833,60.1641367180599
37,891126d307bffff,POINT (24.920590070802053 60.16142362290212),24.920590070802053,60.16142362290212
38,891126d32b7ffff,POINT (24.92349997126169 60.1590332956598),24.92349997126169,60.1590332956598
39,891126d32a3ffff,POINT (24.926409550192382 60.156642821084354),24.926409550192382,60.156642821084354
40,891126d32abffff,POINT (24.92931880763242 60.15425219919152),24.92931880763242,60.15425219919152
41,891126d3233ffff,POINT (24.93445511262167 60.15457444045356),24.93445511262167,60.15457444045356
42,891126d3223ffff,POINT (24.939591782767437 60.1548964995344),24.939591782767437,60.1548964995344
43,891126d322fffff,POINT (24.94472881802612 60.15521837639684),24.94472881802612,60.15521837639684
44,891126d1497ffff,POINT (24.94986621835399 60.15554007100364),24.94986621835399,60.15554007100364
45,891126d334bffff,POINT (24.952095628938036 60.158253047726106),24.952095628938036,60.158253047726106
46,891126d334fffff,POINT (24.95432544445257 60.16096603186285),24.95432544445257,60.16096603186285
47,891126d337bffff,POINT (24.956555665001083 60.16367902338867),24.956555665001083,60.16367902338867
48,891126d3363ffff,POINT (24.95878629068723 60.166392022278345),24.95878629068723,60.166392022278345
49,891126d3377ffff,POINT (24.955877191710904 60.16878340303436),24.955877191710904,60.16878340303436
50,891126d333bffff,POINT (24.952967770946927 60.171174636446466),24.952967770946927,60.171174636446466
51,891126d3333ffff,POINT (24.95005802835684 60.173565722498935),24.95005802835684,60.173565722498935
52,891126d33afffff,POINT (24.94714796390231 60.17595666117598),24.94714796390231,60.17595666117598
53,891126d33a3ffff,POINT (24.942007656771462 60.17563434762359),24.942007656771462,60.17563434762359
54,891126d33b3ffff,POINT (24.936867715173737 60.175311851704144),24.936867715173737,60.175311851704144
55,891126d314bffff,POINT (24.931728139152845 60.17498917345491),24.931728139152845,60.17498917345491
56,891126d315bffff,POINT (24.926588928752523 60.174666312913146),24.926588928752523,60.174666312913146
57,891126d302fffff,POINT (24.92436105171015 60.17195317418468),24.92436105171015,60.17195317418468
58,891126d302bffff,POINT (24.92213357943554 60.169240042905464),24.92213357943554,60.169240042905464
59,891126d3077ffff,POINT (24.91990651182505 60.16652691910069),24.91990651182505,60.16652691910069
60,891126d3073ffff,POINT (24.917679848775162 60.1638138027956),24.917679848775162,60.1638138027956
61,891126d3047ffff,POINT (24.91545359018243 60.161100694015346),24.91545359018243,60.161100694015346
62,891126d304fffff,POINT (24.918363670900906 60.158710535271155),24.918363670900906,60.158710535271155
63,891126d32b3ffff,POINT (24.921273430108435 60.15632022918931),24.921273430108435,60.15632022918931
64,891126d32bbffff,POINT (24.924182867843314 60.153929775785514),24.924182867843314,60.153929775785514
