,Hexagon_ID,geometry,H3_centroids
43,891126d310bffff,"POLYGON ((24.925678259772017 60.18147067030821, 24.928362096296365 60.18078167851094, 24.930818439367254 60.18179373727582, 24.930590959013422 60.183494851065475, 24.92790689322284 60.184183854485454, 24.92545053706277 60.18317173249148, 24.925678259772017 60.18147067030821))",POINT (60.18248277193351 24.928134505849183)
44,891126d3227ffff,"POLYGON ((24.93936489871707 60.15659783847163, 24.94204687601068 60.15590814446437, 24.94450217604616 60.15691976692228, 24.944275511993666 60.15862114662314, 24.941593305802186 60.15931085227947, 24.939137992571556 60.15829916658429, 24.93936489871707 60.15659783847163))",POINT (60.157609503784975 24.941820101949148)
45,891126d15c7ffff,"POLYGON ((24.971749560272965 60.16634451384476, 24.974432531369988 60.16565419992243, 24.976890300747776 60.166665488783245, 24.976665112538004 60.16836715483262, 24.973981912493926 60.169057480495084, 24.971524129617134 60.168046128366484, 24.971749560272965 60.16634451384476))",POINT (60.16735584562856 24.974207232908277)
46,891126d33cfffff,"POLYGON ((24.9386841139821 60.16170179032398, 24.941366487566548 60.16101218994494, 24.943822117658193 60.16202387353916, 24.943595387368774 60.16372522074834, 24.940912784816327 60.164414832776764, 24.93845714153179 60.16340308594504, 24.9386841139821 60.16170179032398))",POINT (60.162713516778346 24.94113964723899)
47,891126d332fffff,"POLYGON ((24.957881968080038 60.173197878177845, 24.96056538068288 60.17250799716622, 24.963022886621793 60.17351954130407, 24.962796993345812 60.175221029708474, 24.960113351668927 60.17591092242585, 24.95765583235253 60.17489931503148, 24.957881968080038 60.173197878177845))",POINT (60.17420946522252 24.960339377187772)
48,891126d317bffff,"POLYGON ((24.933729663536447 60.17940347262539, 24.93641339422998 60.17871425853546, 24.938870028200736 60.17972618869575, 24.938642944649683 60.18142739618034, 24.935958984737944 60.18211662191372, 24.93350233760593 60.181104628517474, 24.933729663536447 60.17940347262539))",POINT (60.18041544565773 24.9361862005541)
49,891126d3117ffff,"POLYGON ((24.919854484270743 60.18625042013162, 24.922538655840427 60.1855616390177, 24.924995025064835 60.18657382423859, 24.92476723576959 60.188274853796486, 24.922082834854844 60.18896364651943, 24.919626452590894 60.1879513980739, 24.919854484270743 60.18625042013162))",POINT (60.18726264820836 24.92231075645338)
50,891126d3387ffff,"POLYGON ((24.9321828561131 60.17158682638875, 24.934865961003315 60.17089753025326, 24.93732194759502 60.17190940144349, 24.937094842448097 60.17361063200101, 24.93441150844076 60.17429993977256, 24.93195550870799 60.173288005349, 24.9321828561131 60.17158682638875))",POINT (60.17259874043934 24.934638745790597)
51,891126d3107ffff,"POLYGON ((24.924995025064835 60.18657382423859, 24.92767925841413 60.1858849261637, 24.930135931794236 60.18689704602529, 24.929908384922374 60.18859812718949, 24.92722392223655 60.18928703688737, 24.92476723576959 60.188274853796486, 24.924995025064835 60.18657382423859))",POINT (60.18758598696535 24.927451601419765)
52,891126d1517ffff,"POLYGON ((24.976214670286655 60.17177045440491, 24.97889809930858 60.17108011699522, 24.981356503280647 60.17209140134971, 24.981131491785423 60.17379308638493, 24.978447833754867 60.174483435549014, 24.97598941623863 60.173472087921866, 24.976214670286655 60.17177045440491))",POINT (60.17278178169643 24.978672977501482)
